epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3335,0,0,88.9022,0,0,0,0,0,0,0,0,0,0,0,22.0587,0,4e-05,4e-05,4e-05
2,20.7536,0,0,86.7005,0,0,0,0,0,0,0,0,0,0,0,22.0937,0,9.901e-05,9.901e-05,9.901e-05
3,31.3112,0,0,84.7731,0,0,0,0,0,0,0,0,0,0,0,22.1852,0,0.000156832,0.000156832,0.000156832
4,41.7733,0,0,82.3958,0,0,0,0,0,0,0,0,0,0,0,22.2219,0,0.000213466,0.000213466,0.000213466
5,52.1589,0,0,78.7259,0,0,0,0,0,0,0,0,0,0,0,22.1603,0,0.000268912,0.000268912,0.000268912
6,62.5883,0,0,73.9732,0,0,0,0,0,0,0,0,0,0,0,22.281,0,0.00032317,0.00032317,0.00032317
7,73.1181,0,0,70.5982,0,0,0,0,0,0,0,0,0,0,0,22.1701,0,0.00037624,0.00037624,0.00037624
8,83.7171,0,0,67.8921,0,0,0,0,0,0,0,0,0,0,0,21.9987,0,0.000428122,0.000428122,0.000428122
9,93.9157,0,0,66.2558,0,0,0,0,0,0,0,0,0,0,0,21.0508,0,0.000478816,0.000478816,0.000478816
10,104.225,0,0,63.5566,0,0,0,0,0,0,0,0,0,0,0,20.3461,0,0.000528322,0.000528322,0.000528322
11,114.658,0,0,61.6078,0,0,0,0,0,0,0,0,0,0,0,19.4497,0,0.00057664,0.00057664,0.00057664
12,125.2,0,0,60.1438,0,0,0,0,0,0,0,0,0,0,0,19.2299,0,0.00062377,0.00062377,0.00062377
13,135.529,0,0,61.3726,0,0,0,0,0,0,0,0,0,0,0,18.5235,0,0.000669712,0.000669712,0.000669712
14,146.012,0,0,59.2279,0,0,0,0,0,0,0,0,0,0,0,17.9035,0,0.000714466,0.000714466,0.000714466
15,156.403,0,0,57.4113,0,0,0,0,0,0,0,0,0,0,0,17.4131,0,0.000758032,0.000758032,0.000758032
16,166.828,0,0,56.1181,0,0,0,0,0,0,0,0,0,0,0,17.5656,0,0.00080041,0.00080041,0.00080041
17,177.348,0,0,54.2574,0,0,0,0,0,0,0,0,0,0,0,15.8406,0,0.0008416,0.0008416,0.0008416
18,187.903,0,0,52.5657,0,0,0,0,0,0,0,0,0,0,0,15.169,0,0.000881602,0.000881602,0.000881602
19,198.399,0,0,52.2751,0,0,0,0,0,0,0,0,0,0,0,14.4939,0,0.000920416,0.000920416,0.000920416
20,208.854,0,0,51.3948,0,0,0,0,0,0,0,0,0,0,0,16.2745,0,0.000958042,0.000958042,0.000958042
21,219.096,0,0,50.7013,0,0,0,0,0,0,0,0,0,0,0,36.163,0,0.00099448,0.00099448,0.00099448
22,229.368,0,0,49.5832,0,0,0,0,0,0,0,0,0,0,0,18.1711,0,0.00102973,0.00102973,0.00102973
23,239.582,0,0,48.3951,0,0,0,0,0,0,0,0,0,0,0,13.4933,0,0.00106379,0.00106379,0.00106379
24,249.791,0,0,47.6442,0,0,0,0,0,0,0,0,0,0,0,13.7666,0,0.00109667,0.00109667,0.00109667
25,259.936,0,0,46.5882,0,0,0,0,0,0,0,0,0,0,0,13.5199,0,0.00112835,0.00112835,0.00112835
26,270.194,0,0,45.6569,0,0,0,0,0,0,0,0,0,0,0,13.1992,0,0.00115885,0.00115885,0.00115885
27,280.584,0,0,44.9321,0,0,0,0,0,0,0,0,0,0,0,13.0386,0,0.00118816,0.00118816,0.00118816
28,290.964,0,0,44.2169,0,0,0,0,0,0,0,0,0,0,0,12.6955,0,0.00121628,0.00121628,0.00121628
29,301.265,0,0,42.9068,0,0,0,0,0,0,0,0,0,0,0,12.6955,0,0.00124322,0.00124322,0.00124322
30,311.561,0,0,42.4694,0,0,0,0,0,0,0,0,0,0,0,11.8398,0,0.00126896,0.00126896,0.00126896
31,321.888,0,0,41.8358,0,0,0,0,0,0,0,0,0,0,0,10.954,0,0.00129352,0.00129352,0.00129352
32,332.257,0,0,40.9689,0,0,0,0,0,0,0,0,0,0,0,12.9909,0,0.00131689,0.00131689,0.00131689
33,342.511,0,0,40.2091,0,0,0,0,0,0,0,0,0,0,0,12.9909,0,0.00133907,0.00133907,0.00133907
34,352.958,0,0,39.5299,0,0,0,0,0,0,0,0,0,0,0,21.2126,0,0.0013466,0.0013466,0.0013466
35,363.712,0,0,39.0376,0,0,0,0,0,0,0,0,0,0,0,10.7137,0,0.0013268,0.0013268,0.0013268
36,374.323,0,0,38.306,0,0,0,0,0,0,0,0,0,0,0,11.2573,0,0.001307,0.001307,0.001307
37,384.607,0,0,37.4765,0,0,0,0,0,0,0,0,0,0,0,11.2573,0,0.0012872,0.0012872,0.0012872
38,394.901,0,0,36.9213,0,0,0,0,0,0,0,0,0,0,0,9.43361,0,0.0012674,0.0012674,0.0012674
39,405.513,0,0,36.3463,0,0,0,0,0,0,0,0,0,0,0,9.03322,0,0.0012476,0.0012476,0.0012476
40,416.106,0,0,35.4716,0,0,0,0,0,0,0,0,0,0,0,9.04345,0,0.0012278,0.0012278,0.0012278
41,426.365,0,0,34.7834,0,0,0,0,0,0,0,0,0,0,0,9.04345,0,0.001208,0.001208,0.001208
42,436.592,0,0,34.3183,0,0,0,0,0,0,0,0,0,0,0,8.87895,0,0.0011882,0.0011882,0.0011882
43,446.954,0,0,33.7299,0,0,0,0,0,0,0,0,0,0,0,8.42473,0,0.0011684,0.0011684,0.0011684
44,457.348,0,0,33.114,0,0,0,0,0,0,0,0,0,0,0,8.25736,0,0.0011486,0.0011486,0.0011486
